Libellé,Prix moyens mensuels de vente au détail en métropole - Gazole (1 litre)
idBank,000442588
Dernière mise à jour,26/03/2026 09:34
Période,
1992-01,0.54
1992-02,0.54
1992-03,0.54
1992-04,0.53
1992-05,0.54
1992-06,0.54
1992-07,0.54
1992-08,0.54
1992-09,0.53
1992-10,0.53
1992-11,0.54
1992-12,0.54
1993-01,0.53
1993-02,0.54
1993-03,0.54
1993-04,0.55
1993-05,0.55
1993-06,0.54
1993-07,0.54
1993-08,0.56
1993-09,0.59
1993-10,0.6
1993-11,0.6
1993-12,0.59
1994-01,0.6
1994-02,0.6
1994-03,0.6
1994-04,0.6
1994-05,0.6
1994-06,0.6
1994-07,0.59
1994-08,0.59
1994-09,0.59
1994-10,0.59
1994-11,0.59
1994-12,0.59
1995-01,0.59
1995-02,0.59
1995-03,0.59
1995-04,0.59
1995-05,0.59
1995-06,0.59
1995-07,0.59
1995-08,0.59
1995-09,0.6
1995-10,0.6
1995-11,0.6
1995-12,0.6
1996-01,0.62
1996-02,0.63
1996-03,0.65
1996-04,0.66
1996-05,0.65
1996-06,0.64
1996-07,0.64
1996-08,0.64
1996-09,0.66
1996-10,0.7
1996-11,0.7
1996-12,0.7
1997-01,0.71
1997-02,0.7
1997-03,0.69
1997-04,0.68
1997-05,0.68
1997-06,0.67
1997-07,0.67
1997-08,0.68
1997-09,0.67
1997-10,0.68
1997-11,0.69
1997-12,0.68
1998-01,0.68
1998-02,0.67
1998-03,0.66
1998-04,0.66
1998-05,0.65
1998-06,0.64
1998-07,0.64
1998-08,0.63
1998-09,0.63
1998-10,0.63
1998-11,0.63
1998-12,0.62
1999-01,0.63
1999-02,0.63
1999-03,0.64
1999-04,0.67
1999-05,0.67
1999-06,0.67
1999-07,0.68
1999-08,0.7
1999-09,0.71
1999-10,0.72
1999-11,0.73
1999-12,0.78
2000-01,0.81
2000-02,0.81
2000-03,0.82
2000-04,0.8
2000-05,0.81
2000-06,0.82
2000-07,0.83
2000-08,0.84
2000-09,0.93
2000-10,0.9
2000-11,0.91
2000-12,0.89
2001-01,0.81
2001-02,0.8
2001-03,0.8
2001-04,0.8
2001-05,0.82
2001-06,0.82
2001-07,0.82
2001-08,0.8
2001-09,0.8
2001-10,0.79
2001-11,0.78
2001-12,0.75
2002-01,0.74
2002-02,0.74
2002-03,0.75
2002-04,0.78
2002-05,0.77
2002-06,0.76
2002-07,0.75
2002-08,0.77
2002-09,0.79
2002-10,0.81
2002-11,0.79
2002-12,0.79
2003-01,0.82
2003-02,0.84
2003-03,0.89
2003-04,0.82
2003-05,0.77
2003-06,0.76
2003-07,0.76
2003-08,0.77
2003-09,0.77
2003-10,0.78
2003-11,0.79
2003-12,0.79
2004-01,0.81
2004-02,0.81
2004-03,0.83
2004-04,0.84
2004-05,0.88
2004-06,0.86
2004-07,0.87
2004-08,0.91
2004-09,0.92
2004-10,0.96
2004-11,0.97
2004-12,0.97
2005-01,0.93
2005-02,0.94
2005-03,0.99
2005-04,1.02
2005-05,0.99
2005-06,1.02
2005-07,1.06
2005-08,1.07
2005-09,1.1
2005-10,1.12
2005-11,1.07
2005-12,1.04
2006-01,1.06
2006-02,1.07
2006-03,1.08
2006-04,1.1
2006-05,1.12
2006-06,1.11
2006-07,1.12
2006-08,1.13
2006-09,1.1
2006-10,1.05
2006-11,1.04
2006-12,1.04
2007-01,1.02
2007-02,1.02
2007-03,1.04
2007-04,1.07
2007-05,1.07
2007-06,1.08
2007-07,1.1
2007-08,1.1
2007-09,1.11
2007-10,1.12
2007-11,1.2
2007-12,1.22
2008-01,1.21
2008-02,1.2
2008-03,1.26
2008-04,1.29
2008-05,1.37
2008-06,1.46
2008-07,1.45
2008-08,1.36
2008-09,1.33
2008-10,1.26
2008-11,1.15
2008-12,1.05
2009-01,0.99
2009-02,0.99
2009-03,0.95
2009-04,0.98
2009-05,0.98
2009-06,1.02
2009-07,1.01
2009-08,1.04
2009-09,1.02
2009-10,1.02
2009-11,1.05
2009-12,1.05
2010-01,1.09
2010-02,1.09
2010-03,1.13
2010-04,1.16
2010-05,1.18
2010-06,1.17
2010-07,1.16
2010-08,1.15
2010-09,1.16
2010-10,1.17
2010-11,1.19
2010-12,1.22
2011-01,1.29
2011-02,1.31
2011-03,1.37
2011-04,1.38
2011-05,1.34
2011-06,1.33
2011-07,1.33
2011-08,1.33
2011-09,1.34
2011-10,1.35
2011-11,1.39
2011-12,1.38
2012-01,1.42
2012-02,1.43
2012-03,1.46
2012-04,1.45
2012-05,1.42
2012-06,1.37
2012-07,1.36
2012-08,1.44
2012-09,1.42
2012-10,1.4
2012-11,1.38
2012-12,1.38
2013-01,1.39
2013-02,1.41
2013-03,1.41
2013-04,1.38
2013-05,1.34
2013-06,1.34
2013-07,1.35
2013-08,1.36
2013-09,1.38
2013-10,1.34
2013-11,1.33
2013-12,1.34
2014-01,1.34
2014-02,1.34
2014-03,1.33
2014-04,1.32
2014-05,1.32
2014-06,1.32
2014-07,1.32
2014-08,1.31
2014-09,1.3
2014-10,1.28
2014-11,1.25
2014-12,1.19
2015-01,1.13
2015-02,1.19
2015-03,1.22
2015-04,1.22
2015-05,1.24
2015-06,1.23
2015-07,1.2
2015-08,1.14
2015-09,1.12
2015-10,1.12
2015-11,1.11
2015-12,1.08
2016-01,1.03
2016-02,1.03
2016-03,1.06
2016-04,1.07
2016-05,1.12
2016-06,1.17
2016-07,1.14
2016-08,1.11
2016-09,1.12
2016-10,1.15
2016-11,1.16
2016-12,1.18
2017-01,1.27
2017-02,1.27
2017-03,1.25
2017-04,1.24
2017-05,1.21
2017-06,1.18
2017-07,1.17
2017-08,1.2
2017-09,1.22
2017-10,1.24
2017-11,1.27
2017-12,1.28
2018-01,1.39
2018-02,1.38
2018-03,1.37
2018-04,1.4
2018-05,1.45
2018-06,1.46
2018-07,1.45
2018-08,1.45
2018-09,1.48
2018-10,1.52
2018-11,1.48
2018-12,1.42
2019-01,1.4
2019-02,1.44
2019-03,1.46
2019-04,1.47
2019-05,1.49
2019-06,1.43
2019-07,1.42
2019-08,1.42
2019-09,1.44
2019-10,1.44
2019-11,1.44
2019-12,1.47
2020-01,1.49
2020-02,1.42
2020-03,1.32
2020-04,1.23
2020-05,1.18
2020-06,1.22
2020-07,1.25
2020-08,1.25
2020-09,1.22
2020-10,1.21
2020-11,1.22
2020-12,1.27
2021-01,1.31
2021-02,1.36
2021-03,1.4
2021-04,1.39
2021-05,1.4
2021-06,1.43
2021-07,1.45
2021-08,1.45
2021-09,1.46
2021-10,1.56
2021-11,1.57
2021-12,1.54
2022-01,1.63
2022-02,1.72
2022-03,2.02
2022-04,1.87
2022-05,1.9
2022-06,2.09
2022-07,2
2022-08,1.87
2022-09,1.74
2022-10,1.87
2022-11,1.88
2022-12,1.78
2023-01,1.92
2023-02,1.86
2023-03,1.85
2023-04,1.81
2023-05,1.69
2023-06,1.7
2023-07,1.72
2023-08,1.85
2023-09,1.93
2023-10,1.91
2023-11,1.84
2023-12,1.77
2024-01,1.75
2024-02,1.83
2024-03,1.8
2024-04,1.79
2024-05,1.73
2024-06,1.71
2024-07,1.73
2024-08,1.67
2024-09,1.61
2024-10,1.63
2024-11,1.64
2024-12,1.66
2025-01,1.71
2025-02,1.71
2025-03,1.66
2025-04,1.59
2025-05,1.56
2025-06,1.6
2025-07,1.65
2025-08,1.62
2025-09,1.62
2025-10,1.61
2025-11,1.68
2025-12,1.61
2026-01,1.65
2026-02,1.69
